[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/email/feedparser.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/urls/exceptions.py first seen with mtime 1603993651.2789555
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/distutils/version.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/collections/abc.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/backends/base/operations.py first seen with mtime 1603993651.0318296
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/views/generic/detail.py first seen with mtime 1603993651.3467722
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_waiter/admin.py first seen with mtime 1604001648.0290325
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/utils/timezone.py first seen with mtime 1603993651.318849
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Complement/urls.py first seen with mtime 1608757893.9932694
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1603993651.097654
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Dish/views/get_and_post.py first seen with mtime 1608757894.0645938
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Drink/urls.py first seen with mtime 1608757894.7330492
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/models/fields/__init__.py first seen with mtime 1603993651.1255794
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/files/images.py first seen with mtime 1603993650.9540398
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/_collections_abc.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1603993650.9530413
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/gzip.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/utils/version.py first seen with mtime 1603993651.3218389
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/unittest/suite.py first seen with mtime 1595941180.0
